OBJECTID,distance,duration,status,time
3,102,17,畅通,Fri Mar  9 11:46:04 2018
6,493,133,畅通,Fri Mar  9 11:46:04 2018
13,212,52,畅通,Fri Mar  9 11:46:04 2018
14,294,46,畅通,Fri Mar  9 11:46:05 2018
17,317,69,畅通,Fri Mar  9 11:46:05 2018
18,204,13,畅通,Fri Mar  9 11:46:05 2018
20,120,19,畅通,Fri Mar  9 11:46:05 2018
25,2090,164,畅通,Fri Mar  9 11:46:05 2018
27,736,114,畅通,Fri Mar  9 11:46:05 2018
32,231,36,畅通,Fri Mar  9 11:46:05 2018
39,166,19,畅通,Fri Mar  9 11:46:06 2018
40,186,48,畅通,Fri Mar  9 11:46:06 2018
41,510,39,畅通,Fri Mar  9 11:46:06 2018
51,148,32,畅通,Fri Mar  9 11:46:06 2018
60,238,38,畅通,Fri Mar  9 11:46:06 2018
74,562,76,畅通,Fri Mar  9 11:46:06 2018
76,297,56,畅通,Fri Mar  9 11:46:06 2018
82,365,94,未知,Fri Mar  9 11:46:06 2018
92,275,56,畅通,Fri Mar  9 11:46:07 2018
94,215,22,畅通,Fri Mar  9 11:46:07 2018
95,107,29,畅通,Fri Mar  9 11:46:07 2018
96,789,90,畅通,Fri Mar  9 11:46:07 2018
98,176,52,畅通,Fri Mar  9 11:46:07 2018
111,188,18,畅通,Fri Mar  9 11:46:07 2018
114,105,19,畅通,Fri Mar  9 11:46:07 2018
117,214,47,畅通,Fri Mar  9 11:46:08 2018
118,156,17,畅通,Fri Mar  9 11:46:08 2018
126,230,58,畅通,Fri Mar  9 11:46:08 2018
130,299,35,畅通,Fri Mar  9 11:46:08 2018
133,195,19,畅通,Fri Mar  9 11:46:08 2018
134,202,34,畅通,Fri Mar  9 11:46:08 2018
136,284,30,畅通,Fri Mar  9 11:46:08 2018
140,297,75,畅通,Fri Mar  9 11:46:08 2018
151,205,26,畅通,Fri Mar  9 11:46:09 2018
152,316,61,畅通,Fri Mar  9 11:46:09 2018
162,172,29,畅通,Fri Mar  9 11:46:09 2018
168,388,63,畅通,Fri Mar  9 11:46:09 2018
171,280,57,畅通,Fri Mar  9 11:46:09 2018
172,134,18,畅通,Fri Mar  9 11:46:09 2018
176,116,13,畅通,Fri Mar  9 11:46:09 2018
179,149,55,畅通,Fri Mar  9 11:46:10 2018
184,187,48,未知,Fri Mar  9 11:46:10 2018
188,195,51,畅通,Fri Mar  9 11:46:10 2018
200,488,59,畅通,Fri Mar  9 11:46:10 2018
201,680,51,畅通,Fri Mar  9 11:46:10 2018
203,385,60,畅通,Fri Mar  9 11:46:10 2018
246,562,63,畅通,Fri Mar  9 11:46:10 2018
247,339,86,畅通,Fri Mar  9 11:46:10 2018
259,203,26,畅通,Fri Mar  9 11:46:11 2018
287,106,33,畅通,Fri Mar  9 11:46:11 2018
289,674,67,畅通,Fri Mar  9 11:46:11 2018
290,927,84,畅通,Fri Mar  9 11:46:11 2018
296,142,10,畅通,Fri Mar  9 11:46:11 2018
297,381,36,畅通,Fri Mar  9 11:46:11 2018
305,281,30,畅通,Fri Mar  9 11:46:11 2018
322,102,15,畅通,Fri Mar  9 11:46:12 2018
323,209,24,畅通,Fri Mar  9 11:46:12 2018
328,102,39,畅通,Fri Mar  9 11:46:12 2018
340,313,31,畅通,Fri Mar  9 11:46:12 2018
348,404,38,畅通,Fri Mar  9 11:46:12 2018
351,335,76,畅通,Fri Mar  9 11:46:12 2018
352,165,23,畅通,Fri Mar  9 11:46:12 2018
354,464,68,畅通,Fri Mar  9 11:46:13 2018
356,321,22,畅通,Fri Mar  9 11:46:13 2018
364,1365,78,畅通,Fri Mar  9 11:46:13 2018
365,541,34,畅通,Fri Mar  9 11:46:13 2018
371,517,83,畅通,Fri Mar  9 11:46:13 2018
372,384,55,畅通,Fri Mar  9 11:46:13 2018
377,317,29,畅通,Fri Mar  9 11:46:13 2018
379,399,78,畅通,Fri Mar  9 11:46:13 2018
381,376,33,畅通,Fri Mar  9 11:46:14 2018
385,503,83,畅通,Fri Mar  9 11:46:14 2018
390,397,30,畅通,Fri Mar  9 11:46:14 2018
394,391,65,未知,Fri Mar  9 11:46:14 2018
395,215,26,畅通,Fri Mar  9 11:46:14 2018
398,338,80,畅通,Fri Mar  9 11:46:14 2018
399,130,18,畅通,Fri Mar  9 11:46:14 2018
401,280,54,畅通,Fri Mar  9 11:46:14 2018
404,983,183,畅通,Fri Mar  9 11:46:15 2018
406,281,47,畅通,Fri Mar  9 11:46:15 2018
411,217,78,缓行,Fri Mar  9 11:46:15 2018
413,662,90,畅通,Fri Mar  9 11:46:15 2018
416,309,24,畅通,Fri Mar  9 11:46:15 2018
429,193,28,畅通,Fri Mar  9 11:46:15 2018
431,221,50,畅通,Fri Mar  9 11:46:15 2018
435,404,54,畅通,Fri Mar  9 11:46:16 2018
437,275,63,畅通,Fri Mar  9 11:46:16 2018
455,283,19,畅通,Fri Mar  9 11:46:16 2018
456,128,9,畅通,Fri Mar  9 11:46:16 2018
457,197,18,畅通,Fri Mar  9 11:46:16 2018
458,604,60,畅通,Fri Mar  9 11:46:16 2018
459,424,37,畅通,Fri Mar  9 11:46:16 2018
461,242,15,畅通,Fri Mar  9 11:46:16 2018
462,194,13,畅通,Fri Mar  9 11:46:17 2018
465,184,13,畅通,Fri Mar  9 11:46:17 2018
466,119,10,畅通,Fri Mar  9 11:46:17 2018
478,641,76,畅通,Fri Mar  9 11:46:17 2018
479,231,37,畅通,Fri Mar  9 11:46:17 2018
482,965,87,畅通,Fri Mar  9 11:46:17 2018
487,202,22,畅通,Fri Mar  9 11:46:17 2018
488,166,15,畅通,Fri Mar  9 11:46:17 2018
489,165,20,畅通,Fri Mar  9 11:46:18 2018
491,378,45,畅通,Fri Mar  9 11:46:18 2018
492,479,81,畅通,Fri Mar  9 11:46:18 2018
494,276,42,畅通,Fri Mar  9 11:46:18 2018
495,153,20,畅通,Fri Mar  9 11:46:18 2018
507,277,28,畅通,Fri Mar  9 11:46:18 2018
508,612,58,畅通,Fri Mar  9 11:46:18 2018
509,468,42,畅通,Fri Mar  9 11:46:19 2018
513,137,9,畅通,Fri Mar  9 11:46:19 2018
514,237,20,畅通,Fri Mar  9 11:46:19 2018
515,426,29,畅通,Fri Mar  9 11:46:19 2018
517,157,24,畅通,Fri Mar  9 11:46:19 2018
520,303,43,畅通,Fri Mar  9 11:46:19 2018
521,729,67,畅通,Fri Mar  9 11:46:19 2018
525,456,74,畅通,Fri Mar  9 11:46:19 2018
534,118,38,畅通,Fri Mar  9 11:46:20 2018
538,753,59,畅通,Fri Mar  9 11:46:20 2018
549,412,63,畅通,Fri Mar  9 11:46:20 2018
567,330,49,畅通,Fri Mar  9 11:46:20 2018
571,270,49,畅通,Fri Mar  9 11:46:20 2018
573,385,42,畅通,Fri Mar  9 11:46:20 2018
575,885,128,畅通,Fri Mar  9 11:46:20 2018
578,104,11,畅通,Fri Mar  9 11:46:20 2018
579,111,38,畅通,Fri Mar  9 11:46:21 2018
590,1714,111,畅通,Fri Mar  9 11:46:21 2018
591,1415,75,畅通,Fri Mar  9 11:46:21 2018
592,377,61,畅通,Fri Mar  9 11:46:21 2018
593,114,27,畅通,Fri Mar  9 11:46:21 2018
595,804,47,畅通,Fri Mar  9 11:46:21 2018
610,799,46,畅通,Fri Mar  9 11:46:21 2018
611,227,16,畅通,Fri Mar  9 11:46:21 2018
612,161,10,畅通,Fri Mar  9 11:46:22 2018
614,549,30,畅通,Fri Mar  9 11:46:22 2018
615,363,21,畅通,Fri Mar  9 11:46:22 2018
616,128,9,畅通,Fri Mar  9 11:46:22 2018
617,592,67,畅通,Fri Mar  9 11:46:22 2018
618,648,65,畅通,Fri Mar  9 11:46:22 2018
620,1618,219,畅通,Fri Mar  9 11:46:22 2018
621,719,41,畅通,Fri Mar  9 11:46:23 2018
622,118,52,畅通,Fri Mar  9 11:46:23 2018
623,457,63,缓行,Fri Mar  9 11:46:23 2018
624,1787,229,畅通,Fri Mar  9 11:46:23 2018
625,1165,141,畅通,Fri Mar  9 11:46:23 2018
626,1067,58,畅通,Fri Mar  9 11:46:23 2018
627,1109,121,畅通,Fri Mar  9 11:46:23 2018
638,642,133,畅通,Fri Mar  9 11:46:23 2018
648,1104,59,畅通,Fri Mar  9 11:46:24 2018
649,684,39,畅通,Fri Mar  9 11:46:24 2018
655,532,86,畅通,Fri Mar  9 11:46:24 2018
658,731,91,畅通,Fri Mar  9 11:46:24 2018
659,408,33,畅通,Fri Mar  9 11:46:24 2018
660,1275,72,畅通,Fri Mar  9 11:46:24 2018
661,209,12,畅通,Fri Mar  9 11:46:24 2018
662,281,34,畅通,Fri Mar  9 11:46:24 2018
663,983,58,畅通,Fri Mar  9 11:46:25 2018
668,265,17,畅通,Fri Mar  9 11:46:25 2018
669,475,26,畅通,Fri Mar  9 11:46:25 2018
670,192,24,畅通,Fri Mar  9 11:46:25 2018
671,238,21,畅通,Fri Mar  9 11:46:25 2018
672,231,47,畅通,Fri Mar  9 11:46:25 2018
673,250,35,畅通,Fri Mar  9 11:46:25 2018
674,113,13,畅通,Fri Mar  9 11:46:26 2018
675,317,45,畅通,Fri Mar  9 11:46:26 2018
679,207,39,缓行,Fri Mar  9 11:46:26 2018
682,441,62,畅通,Fri Mar  9 11:46:26 2018
683,387,61,畅通,Fri Mar  9 11:46:26 2018
685,190,12,畅通,Fri Mar  9 11:46:26 2018
686,2443,154,畅通,Fri Mar  9 11:46:26 2018
687,531,47,畅通,Fri Mar  9 11:46:27 2018
688,237,20,畅通,Fri Mar  9 11:46:27 2018
689,2059,138,畅通,Fri Mar  9 11:46:27 2018
690,189,13,畅通,Fri Mar  9 11:46:27 2018
691,1432,205,畅通,Fri Mar  9 11:46:27 2018
692,421,65,畅通,Fri Mar  9 11:46:27 2018
694,419,41,畅通,Fri Mar  9 11:46:27 2018
697,138,10,畅通,Fri Mar  9 11:46:27 2018
698,1585,80,畅通,Fri Mar  9 11:46:28 2018
700,1354,71,畅通,Fri Mar  9 11:46:28 2018
701,104,25,畅通,Fri Mar  9 11:46:28 2018
