OBJECTID,access,bridge,from_,highway,key,lanes,length,maxspeed,name,oneway,osmid,ref,to,tunnel,Shape_Length
1, , ,313736000,primary,0, ,81.5285349260611, ,兴源路,True,147866731, ,2530789764, ,81.605676280873624
2, , ,2530789759,primary,0, ,327.1760532634395, ,兴源路,True,147866731, ,313736000, ,327.562184643195220
3, , ,313736002,primary,0,2,104.46612295406825, ,春申路,True,147866737, ,3053008326, ,104.415531151815760
4, , ,3053025015,secondary,0, ,140.9028280016272, ,兴源北路,False,64226741, ,313736002, ,141.014843690290230
5, , ,1694826324,secondary,0, ,116.50910047915104, ,兴源路,False,245189886, ,313736002, ,116.589416567522460
6, , ,2073510422,primary,0,"['3', '2']",504.4922310780468, ,"['春申路', '锡澄路']",True,"[147866737, 70659290, 70659292]", ,313736002,yes,504.100910400128100
7, , ,313736004,primary,0, ,106.29859794668118, ,兴源路,True,147866731, ,842983438, ,106.365835749826730
8, , ,2530789764,primary,0, ,139.03533066040183, ,兴源路,True,147866731, ,313736004, ,139.166781616737980
9, , ,2302169031,primary,0, ,246.31151078239225, ,五爱北路,False,244012146, ,313736019, ,245.776089320051110
11, , ,313736073,"['trunk_link', 'trunk']",0,"['3', '2']",16.416209365474522, ,"['蠡湖大道', '青祁路']",True,"[165051715, 165341357]", ,854443883, ,16.378002616524469
12, , ,2056663874,primary,0,3,26.51606270532137, ,太湖大道,True,222090109, ,313736073, ,26.581763649060836
13, , ,2461147821,trunk_link,0,3,213.29130267252324, ,青祁路,True,165341357, ,313736073, ,212.778407119562530
14, , ,313736076,secondary,0,2,295.7274169992572, ,湖滨路,True,334442768, ,2414152435, ,295.012051970488980
15, , ,313736076,primary,0,3,13.760726321568672, ,太湖大道,True,222090109, ,2302243856, ,13.794504425140326
16, , ,854443905,secondary,0,2,15.890557947907817, ,湖滨路,True,334442768, ,313736076, ,15.852002447724777
17, ,yes,2310690848,primary,0,3,319.7999465451281, ,太湖大道,True,"[222089219, 222090109, 222090110]", ,313736076, ,320.585540638162910
18, , ,313736081,primary,0,3,204.08989466416904, ,太湖大道,True,147866743, ,2310684926, ,204.324073038617680
19, , ,2364349956,primary,0,3,98.49244838691091, ,太湖大道,True,147866743, ,313736081, ,98.571688189188649
20, , ,313736097,primary,0,3,120.09797445024607, ,太湖大道,True,422925790, ,4226475510, ,120.218324095919560
21, , ,854443936,primary,0,3,98.37980763476294, ,太湖大道,True,422925790, ,313736097, ,98.286546530935254
22, , ,4226475380,primary_link,0,3,348.84932616740076, ,隧道出口,True,"[221851810, 422925782]", ,313736097,yes,349.220767176016520
23, , ,606942573,primary,0, ,414.88936652481385, ,兴源路,False,47701615, ,313736102, ,414.437738444503570
24, , ,313736102,primary,0,2,253.2110770976913, ,兴源路,True,221498422, ,740424968, ,252.946263930140760
