OBJECTID,highway,lat,lon,osmid
1, ,31.5885914,120.2988253,313736000
2, ,31.5928548,120.2924345,313736002
3, ,31.5896944,120.2968899,313736004
4, ,31.5809854,120.2863562,313736019
5, ,31.5429805,120.2656142,313736073
6, ,31.54344,120.2793812,313736076
7, ,31.5470452,120.2925152,313736081
8, ,31.5662514,120.3197217,313736097
9, ,31.5667673,120.3231864,313736102
10, ,31.5867098,120.3031459,313736149
11, ,31.5828291,120.2995291,313736389
12, ,31.5804032,120.3037599,506565871
13, ,31.5770613,120.2893326,506565876
14, ,31.5547083,120.3018459,544367022
15, ,31.5729648,120.2979018,544367024
16, ,31.5680527,120.3028344,544367025
17, ,31.5743128,120.3042033,544367031
18, ,31.5735697,120.2997173,544367033
19, ,31.5760901,120.3048391,544367035
20, ,31.5760179,120.3019744,544367037
21, ,31.5759336,120.2977845,544367039
22, ,31.6066748,120.2896861,606775659
23, ,31.5987345,120.2834467,606775671
24, ,31.5679482,120.2975616,606778663
25, ,31.5723361,120.3036166,606778723
26, ,31.5772586,120.286705,606790266
27, ,31.5790773,120.275012,606790312
28, ,31.5679093,120.2632697,606790327
29, ,31.5611736,120.265034,606790332
30, ,31.5819184,120.3018106,606791949
31, ,31.5777896,120.3246319,606794887
32, ,31.5748394,120.3126484,606794905
33, ,31.5756347,120.2954534,606798516
34, ,31.5777006,120.2951987,606798520
35, ,31.5678842,120.2771082,606816579
36, ,31.5587685,120.2857011,606816631
37, ,31.5753656,120.294595,606939896
38, ,31.5750027,120.2916864,606939898
39, ,31.5747366,120.2889729,606939899
40, ,31.5721713,120.2921816,606939922
41, ,31.5705207,120.292492,606939923
42, ,31.5657846,120.2904065,606939971
43, ,31.5660353,120.2845231,606939973
44, ,31.5678027,120.2788458,606940258
45, ,31.5820925,120.2779909,606940264
46, ,31.5815512,120.2945236,606940568
47, ,31.5860507,120.2972745,606940767
48, ,31.5846907,120.2958765,606940770
49, ,31.5840211,120.3008649,606940788
50, ,31.5821978,120.2977435,606940833
51, ,31.5812278,120.2906112,606940835
52, ,31.5700016,120.3008637,606940988
53, ,31.5653515,120.2965787,606941552
54, ,31.5655594,120.304906,606942048
55, ,31.56322,120.2832542,606942173
56, ,31.5586092,120.2879177,606942175
57, ,31.5514558,120.2951003,606942176
58, ,31.55257,120.2965611,606942462
59, ,31.563322,120.3185377,606942571
60, ,31.5635962,120.325494,606942573
61, ,31.5610958,120.3390845,606943114
62, ,31.5696756,120.303232,606944721
63, ,31.572101,120.3013866,606944876
64, ,31.5736845,120.3003884,606944877
65, ,31.575147,120.2994122,606944878
66, ,31.5759497,120.2991433,606944879
67, ,31.5786888,120.2987367,606944882
68, ,31.5743796,120.2881305,606945388
69, ,31.5828525,120.2767485,606947023
70, ,31.5602592,120.2902014,606948595
71, ,31.5672558,120.2738805,606948823
72, ,31.5645146,120.2764579,606948824
73, ,31.5624484,120.2720924,610310958
74, ,31.5572412,120.2719225,610310962
75, ,31.5888458,120.2843264,610907171
76, ,31.5880288,120.2875666,610907172
77, ,31.586189,120.2901078,610907174
78, ,31.6079189,120.309976,610907181
79, ,31.597381,120.2960054,610907331
80, ,31.5653871,120.263985,614952367
81,traffic_signals,31.5238845,120.2669859,614952841
82, ,31.5268033,120.2817685,614952852
83, ,31.5274237,120.2925996,614952877
84, ,31.5404503,120.3104332,614952897
85, ,31.5240943,120.2954682,614952946
86, ,31.5583979,120.3512347,614953794
87, ,31.5593734,120.3296837,621564164
88, ,31.5717835,120.2904282,740423830
89, ,31.5670844,120.3238586,740423845
90, ,31.5635641,120.3264433,740423857
91, ,31.5631764,120.3380586,740423867
92, ,31.5494213,120.3222461,740423917
93, ,31.5436926,120.3146766,740423928
94, ,31.5597315,120.2986348,740423938
95, ,31.5900482,120.3316727,740424076
96, ,31.5911198,120.3099176,740424493
97, ,31.5901964,120.3243504,740424498
98, ,31.5899554,120.3283796,740424500
99, ,31.5855135,120.3123107,740424834
100, ,31.56869,120.3217662,740424968
101, ,31.5988838,120.2903209,842983399
102, ,31.5979925,120.290149,842983431
103, ,31.5986794,120.2894431,842983435
104, ,31.5902761,120.2960032,842983438
105, ,31.539636,120.3093066,854347852
106, ,31.5364133,120.3050587,854347857
107, ,31.5715383,120.3286187,854443870
108, ,31.5428332,120.2656259,854443883
109, ,31.5432971,120.2793796,854443905
110, ,31.5694453,120.3246635,854443919
111, ,31.557986,120.3063407,854443920
112, ,31.5545317,120.3019879,854443924
113, ,31.5669827,120.3202561,854443936
114, ,31.5846487,120.3136366,966023588
115, ,31.579848,120.3271106,966023603
116, ,31.5851015,120.3255157,966023637
117, ,31.6061597,120.3099074,966023680
118, ,31.5846771,120.3200509,966023856
119, ,31.6135947,120.2796712,1221684136
120, ,31.5939459,120.3018986,1239252364
121, ,31.533809,120.2662437,1441322941
122, ,31.5348736,120.2695751,1441322942
123, ,31.5392691,120.2701976,1441349799
124, ,31.5397705,120.2791437,1441349800
125, ,31.5355166,120.2709907,1441349804
126, ,31.5555836,120.2857336,1441349817
127, ,31.5554584,120.2910866,1599270923
128, ,31.5581299,120.3061932,1599270925
129, ,31.5603021,120.293719,1599270932
130, ,31.5615106,120.3029434,1599270950
131, ,31.5614614,120.2972831,1599270951
132, ,31.5656827,120.316918,1599270965
133, ,31.5687993,120.3030794,1599270980
134, ,31.5742265,120.3320259,1610049881
135, ,31.5744612,120.3367861,1610049897
136, ,31.5736043,120.3386062,1610049966
137, ,31.5757586,120.3344071,1610049974
138, ,31.5771879,120.3366401,1610050084
139, ,31.5848755,120.2844578,1610220126
140, ,31.5212871,120.2676336,1610827835
141, ,31.5307199,120.2777914,1610828028
142, ,31.5315234,120.282262,1610828039
143, ,31.5348939,120.2688711,1610828097
144, ,31.5351887,120.2772243,1610828102
145, ,31.5377852,120.3210246,1610828108
146, ,31.5389219,120.2959349,1610828203
147, ,31.5399922,120.2862706,1610828219
148, ,31.5401037,120.2919204,1610828227
149, ,31.5822566,120.3090882,1610828581
150, ,31.5815613,120.3457415,1619079041
151, ,31.5829857,120.3121138,1683052362
152, ,31.57717,120.3187152,1683052380
153, ,31.5762958,120.319257,1683052383
154, ,31.5775345,120.3167229,1683052384
155, ,31.5846373,120.3099112,1683052387
156, ,31.5863301,120.3111845,1683052391
157, ,31.5785923,120.3159855,1683052414
158, ,31.577406,120.3192514,1683052422
159, ,31.5756858,120.3179886,1683052423
160, ,31.580875,120.3181817,1683052425
161, ,31.5844898,120.3171448,1683052430
162, ,31.588144,120.315985,1683052432
163, ,31.5651114,120.3180874,1684397060
164, ,31.5822898,120.3093941,1684397092
165, ,31.5653046,120.3180046,1684397104
166, ,31.5547235,120.2993043,1684446207
167, ,31.5473856,120.3032621,1684446220
168, ,31.549505,120.299915,1684446237
169, ,31.5482331,120.2983114,1684446252
170, ,31.554106,120.2924754,1684446254
171, ,31.5532084,120.3045414,1684446256
172, ,31.5481174,120.3040426,1684446261
173, ,31.5495532,120.3025116,1684446266
174, ,31.5583423,120.2996722,1684446272
175, ,31.5543472,120.2958846,1684446273
176, ,31.5670985,120.3005305,1684446282
177, ,31.5541356,120.2952896,1684446288
178, ,31.5521061,120.305731,1684446290
179, ,31.5427188,120.2975317,1684446293
180, ,31.5484119,120.3010884,1684446298
181, ,31.5562043,120.3012515,1684446300
182, ,31.5477014,120.3035732,1684446308
183, ,31.5506884,120.3072433,1684446324
184, ,31.5471222,120.2994901,1684446326
185, ,31.5527904,120.2937857,1684446330
186, ,31.540075,120.2948316,1684446338
187, ,31.5636986,120.3014645,1684446343
188, ,31.5539041,120.294451,1684446375
189, ,31.5885206,120.3198245,1692646996
190, ,31.5904393,120.3200936,1692647203
191, ,31.592224,120.2934167,1694826324
192, ,31.5902411,120.2899444,1694826362
193, ,31.5958697,120.2805992,1694843925
194, ,31.5916357,120.2869905,1694843931
195, ,31.5927712,120.2852152,1694843937
196, ,31.5977543,120.2704671,1694843942
197, ,31.5983715,120.278149,1694843944
198, ,31.5913865,120.2706546,1694843951
199, ,31.5925711,120.2782687,1694843952
200, ,31.5867599,120.2699302,1694843953
202, ,31.5720818,120.3409859,1750438215
203, ,31.5732111,120.3308361,1750438226
204, ,31.5734898,120.3309946,1750438227
205, ,31.5739623,120.3381007,1750438347
206, ,31.5761414,120.3350011,1750438364
207, ,31.5771466,120.3316661,1750438397
208, ,31.5771977,120.3313084,1750438407
209, ,31.5806993,120.3269163,1750438453
210, ,31.584089,120.3261332,1750438483
211, ,31.5959813,120.3218484,1750438517
212, ,31.6051595,120.3165311,1750438571
213, ,31.6052339,120.316115,1750438572
214, ,31.5908167,120.3240859,1750441777
216, ,31.6075501,120.2934503,1750910157
217, ,31.6076371,120.2936545,1750910160
218, ,31.6096664,120.2914354,1750910176
219, ,31.6100522,120.291644,1750910179
220, ,31.6106233,120.2911751,1750910192
221, ,31.6117661,120.2892887,1750910226
222, ,31.6118538,120.2885521,1750910227
223, ,31.6142685,120.2764174,1750910248
224, ,31.6143586,120.2763445,1750910258
225, ,31.6056817,120.3090145,1750915920
226, ,31.6061698,120.304787,1750915937
227, ,31.6062493,120.3097916,1750915940
228, ,31.606287,120.3057079,1750915942
229, ,31.6122064,120.2868091,1750920514
230, ,31.6124247,120.2864433,1750920523
231, ,31.6124787,120.287526,1750920527
232, ,31.613197,120.2824933,1750920558
233, ,31.6132452,120.2851857,1750920561
234, ,31.6134795,120.2840188,1750920571
235, ,31.6136756,120.2796944,1750927215
236, ,31.6141127,120.2793522,1750927240
237, ,31.614148,120.2807619,1750927242
238, ,31.6144291,120.2794541,1750927271
239, ,31.6146889,120.2800736,1750927313
240, ,31.6147852,120.2804064,1750927316
241, ,31.5556614,120.2654609,1762307915
242, ,31.5556692,120.2652272,1762307916
243, ,31.5573601,120.2655634,1762307921
244, ,31.5573689,120.2653449,1762307922
245, ,31.5698185,120.2622624,1762307981
246, ,31.5701446,120.2620619,1762307982
247, ,31.5863616,120.2582317,1762308025
248, ,31.5866472,120.2579979,1762308034
