OBJECTID,isShortest
2,FALSE
7,FALSE
8,FALSE
22,FALSE
24,FALSE
29,FALSE
36,FALSE
43,FALSE
47,FALSE
81,FALSE
127,FALSE
154,FALSE
161,FALSE
163,FALSE
242,FALSE
285,FALSE
324,FALSE
326,FALSE
360,FALSE
366,FALSE
369,FALSE
386,FALSE
391,FALSE
392,FALSE
396,FALSE
402,FALSE
426,FALSE
430,FALSE
436,FALSE
481,FALSE
541,FALSE
574,FALSE
594,FALSE
613,FALSE
628,FALSE
650,FALSE
651,FALSE
653,FALSE
667,FALSE
693,FALSE
695,FALSE
696,FALSE
702,FALSE
707,FALSE
712,FALSE
732,FALSE
734,FALSE
735,FALSE
759,FALSE
783,FALSE
785,FALSE
811,FALSE
812,FALSE
820,FALSE
823,FALSE
846,FALSE
897,FALSE
899,FALSE
914,FALSE
915,FALSE
916,FALSE
949,FALSE
953,FALSE
966,FALSE
1000,FALSE
1015,FALSE
1031,FALSE
1049,FALSE
1060,FALSE
1061,FALSE
1079,FALSE
1099,FALSE
1110,FALSE
1111,FALSE
1144,FALSE
1155,FALSE
1159,FALSE
1198,FALSE
1241,FALSE
1299,FALSE
1307,FALSE
1330,FALSE
1336,FALSE
1343,FALSE
1359,FALSE
1360,FALSE
1363,FALSE
1404,FALSE
1411,FALSE
1419,FALSE
1421,FALSE
1427,FALSE
1428,FALSE
1439,FALSE
1463,FALSE
1470,FALSE
1474,FALSE
1492,FALSE
1494,FALSE
1596,FALSE
1607,FALSE
1658,FALSE
1662,FALSE
1698,FALSE
1722,FALSE
1731,FALSE
1741,FALSE
1792,FALSE
1804,FALSE
1812,FALSE
1837,FALSE
1845,FALSE
1855,FALSE
1865,FALSE
1888,FALSE
1905,FALSE
1909,FALSE
1914,FALSE
1926,FALSE
1935,FALSE
1939,FALSE
1960,FALSE
1971,FALSE
1982,FALSE
1985,FALSE
1992,FALSE
2008,FALSE
2023,FALSE
2025,FALSE
3,TRUE
6,TRUE
13,TRUE
14,TRUE
17,TRUE
18,TRUE
20,TRUE
25,TRUE
27,TRUE
32,TRUE
39,TRUE
40,TRUE
41,TRUE
51,TRUE
60,TRUE
74,TRUE
76,TRUE
82,TRUE
92,TRUE
94,TRUE
95,TRUE
96,TRUE
98,TRUE
111,TRUE
114,TRUE
117,TRUE
118,TRUE
126,TRUE
130,TRUE
133,TRUE
134,TRUE
136,TRUE
140,TRUE
151,TRUE
152,TRUE
162,TRUE
168,TRUE
171,TRUE
172,TRUE
176,TRUE
179,TRUE
184,TRUE
188,TRUE
200,TRUE
201,TRUE
203,TRUE
246,TRUE
247,TRUE
259,TRUE
287,TRUE
289,TRUE
290,TRUE
296,TRUE
297,TRUE
305,TRUE
322,TRUE
323,TRUE
328,TRUE
340,TRUE
348,TRUE
351,TRUE
352,TRUE
354,TRUE
356,TRUE
364,TRUE
365,TRUE
371,TRUE
372,TRUE
377,TRUE
379,TRUE
381,TRUE
385,TRUE
390,TRUE
394,TRUE
395,TRUE
398,TRUE
399,TRUE
401,TRUE
404,TRUE
406,TRUE
411,TRUE
413,TRUE
416,TRUE
429,TRUE
431,TRUE
435,TRUE
437,TRUE
455,TRUE
456,TRUE
457,TRUE
458,TRUE
459,TRUE
461,TRUE
462,TRUE
465,TRUE
466,TRUE
478,TRUE
479,TRUE
482,TRUE
487,TRUE
488,TRUE
489,TRUE
491,TRUE
492,TRUE
494,TRUE
495,TRUE
507,TRUE
508,TRUE
509,TRUE
513,TRUE
514,TRUE
515,TRUE
517,TRUE
520,TRUE
521,TRUE
525,TRUE
534,TRUE
538,TRUE
549,TRUE
567,TRUE
571,TRUE
573,TRUE
575,TRUE
578,TRUE
579,TRUE
590,TRUE
591,TRUE
592,TRUE
593,TRUE
595,TRUE
610,TRUE
611,TRUE
612,TRUE
614,TRUE
615,TRUE
616,TRUE
617,TRUE
618,TRUE
620,TRUE
621,TRUE
622,TRUE
623,TRUE
624,TRUE
625,TRUE
626,TRUE
627,TRUE
638,TRUE
648,TRUE
649,TRUE
655,TRUE
658,TRUE
659,TRUE
660,TRUE
661,TRUE
662,TRUE
663,TRUE
668,TRUE
669,TRUE
670,TRUE
671,TRUE
672,TRUE
673,TRUE
674,TRUE
675,TRUE
679,TRUE
682,TRUE
683,TRUE
685,TRUE
686,TRUE
687,TRUE
688,TRUE
689,TRUE
690,TRUE
691,TRUE
692,TRUE
694,TRUE
697,TRUE
698,TRUE
700,TRUE
701,TRUE
703,TRUE
704,TRUE
706,TRUE
708,TRUE
709,TRUE
717,TRUE
718,TRUE
719,TRUE
720,TRUE
721,TRUE
722,TRUE
723,TRUE
724,TRUE
725,TRUE
726,TRUE
727,TRUE
728,TRUE
729,TRUE
730,TRUE
731,TRUE
738,TRUE
739,TRUE
740,TRUE
742,TRUE
743,TRUE
744,TRUE
745,TRUE
746,TRUE
747,TRUE
748,TRUE
749,TRUE
750,TRUE
751,TRUE
753,TRUE
754,TRUE
755,TRUE
756,TRUE
757,TRUE
758,TRUE
760,TRUE
761,TRUE
762,TRUE
765,TRUE
766,TRUE
767,TRUE
769,TRUE
770,TRUE
772,TRUE
775,TRUE
776,TRUE
777,TRUE
778,TRUE
780,TRUE
781,TRUE
784,TRUE
786,TRUE
787,TRUE
788,TRUE
789,TRUE
790,TRUE
791,TRUE
792,TRUE
793,TRUE
794,TRUE
795,TRUE
799,TRUE
801,TRUE
802,TRUE
804,TRUE
805,TRUE
806,TRUE
807,TRUE
808,TRUE
809,TRUE
810,TRUE
813,TRUE
814,TRUE
818,TRUE
819,TRUE
821,TRUE
824,TRUE
829,TRUE
830,TRUE
838,TRUE
839,TRUE
844,TRUE
847,TRUE
849,TRUE
850,TRUE
851,TRUE
852,TRUE
853,TRUE
854,TRUE
855,TRUE
896,TRUE
898,TRUE
945,TRUE
946,TRUE
947,TRUE
948,TRUE
952,TRUE
954,TRUE
955,TRUE
956,TRUE
957,TRUE
959,TRUE
960,TRUE
961,TRUE
962,TRUE
963,TRUE
1026,TRUE
1028,TRUE
1029,TRUE
1030,TRUE
1033,TRUE
1035,TRUE
1037,TRUE
1050,TRUE
1051,TRUE
1058,TRUE
1066,TRUE
1070,TRUE
1073,TRUE
1076,TRUE
1104,TRUE
1106,TRUE
1119,TRUE
1121,TRUE
1129,TRUE
1132,TRUE
1138,TRUE
1146,TRUE
1149,TRUE
1153,TRUE
1156,TRUE
1157,TRUE
1160,TRUE
1161,TRUE
1163,TRUE
1164,TRUE
1165,TRUE
1169,TRUE
1184,TRUE
1185,TRUE
1187,TRUE
1188,TRUE
1190,TRUE
1192,TRUE
1193,TRUE
1194,TRUE
1196,TRUE
1199,TRUE
1298,TRUE
1300,TRUE
1301,TRUE
1304,TRUE
1308,TRUE
1309,TRUE
1312,TRUE
1313,TRUE
1316,TRUE
1320,TRUE
1326,TRUE
1327,TRUE
1328,TRUE
1331,TRUE
1332,TRUE
1334,TRUE
1337,TRUE
1342,TRUE
1351,TRUE
1356,TRUE
1357,TRUE
1358,TRUE
1402,TRUE
1403,TRUE
1407,TRUE
1412,TRUE
1414,TRUE
1418,TRUE
1424,TRUE
1425,TRUE
1426,TRUE
1437,TRUE
1441,TRUE
1442,TRUE
1443,TRUE
1449,TRUE
1465,TRUE
1466,TRUE
1475,TRUE
1479,TRUE
1481,TRUE
1482,TRUE
1484,TRUE
1489,TRUE
1496,TRUE
1500,TRUE
1503,TRUE
1506,TRUE
1507,TRUE
1509,TRUE
1520,TRUE
1534,TRUE
1535,TRUE
1539,TRUE
1540,TRUE
1548,TRUE
1549,TRUE
1550,TRUE
1563,TRUE
1565,TRUE
1566,TRUE
1581,TRUE
1585,TRUE
1595,TRUE
1640,TRUE
1641,TRUE
1644,TRUE
1653,TRUE
1655,TRUE
1656,TRUE
1669,TRUE
1677,TRUE
1693,TRUE
1696,TRUE
1697,TRUE
1699,TRUE
1701,TRUE
1707,TRUE
1709,TRUE
1723,TRUE
1732,TRUE
1735,TRUE
1740,TRUE
1742,TRUE
1743,TRUE
1754,TRUE
1777,TRUE
1778,TRUE
1779,TRUE
1783,TRUE
1798,TRUE
1806,TRUE
1808,TRUE
1827,TRUE
1836,TRUE
1839,TRUE
1850,TRUE
1851,TRUE
1857,TRUE
1864,TRUE
1867,TRUE
1871,TRUE
1873,TRUE
1876,TRUE
1882,TRUE
1887,TRUE
1889,TRUE
1903,TRUE
1904,TRUE
1906,TRUE
1907,TRUE
1911,TRUE
1912,TRUE
1915,TRUE
1916,TRUE
1917,TRUE
1921,TRUE
1922,TRUE
1924,TRUE
1925,TRUE
1927,TRUE
1930,TRUE
1931,TRUE
1933,TRUE
1934,TRUE
1936,TRUE
1938,TRUE
1940,TRUE
1941,TRUE
1945,TRUE
1949,TRUE
1950,TRUE
1951,TRUE
1952,TRUE
1953,TRUE
1955,TRUE
1956,TRUE
1957,TRUE
1961,TRUE
1963,TRUE
1970,TRUE
1973,TRUE
1976,TRUE
1977,TRUE
1978,TRUE
1980,TRUE
1981,TRUE
1993,TRUE
1994,TRUE
1995,TRUE
1996,TRUE
2002,TRUE
2009,TRUE
2011,TRUE
2013,TRUE
2014,TRUE
2016,TRUE
2017,TRUE
2024,TRUE
