OBJECTID,distance,duation,status,time
3,102.000000,16.000000,畅通,<module 'time' (built-in)>
13,212.000000,64.000000,畅通,<module 'time' (built-in)>
14,294.000000,57.000000,畅通,<module 'time' (built-in)>
17,317.000000,100.000000,畅通,<module 'time' (built-in)>
18,204.000000,13.000000,畅通,<module 'time' (built-in)>
20,120.000000,37.000000,畅通,<module 'time' (built-in)>
25,2090.000000,168.000000,畅通,<module 'time' (built-in)>
27,736.000000,143.000000,畅通,<module 'time' (built-in)>
40,186.000000,57.000000,畅通,<module 'time' (built-in)>
51,148.000000,44.000000,畅通,<module 'time' (built-in)>
60,238.000000,45.000000,畅通,<module 'time' (built-in)>
74,562.000000,118.000000,畅通,<module 'time' (built-in)>
76,297.000000,67.000000,畅通,<module 'time' (built-in)>
94,215.000000,22.000000,畅通,<module 'time' (built-in)>
95,107.000000,35.000000,畅通,<module 'time' (built-in)>
96,789.000000,163.000000,畅通,<module 'time' (built-in)>
98,176.000000,41.000000,畅通,<module 'time' (built-in)>
114,101.000000,23.000000,缓行,<module 'time' (built-in)>
117,214.000000,127.000000,拥堵,<module 'time' (built-in)>
118,156.000000,16.000000,畅通,<module 'time' (built-in)>
126,230.000000,58.000000,畅通,<module 'time' (built-in)>
133,195.000000,18.000000,畅通,<module 'time' (built-in)>
134,202.000000,32.000000,畅通,<module 'time' (built-in)>
136,284.000000,27.000000,畅通,<module 'time' (built-in)>
140,297.000000,69.000000,畅通,<module 'time' (built-in)>
151,205.000000,24.000000,畅通,<module 'time' (built-in)>
162,172.000000,30.000000,畅通,<module 'time' (built-in)>
171,280.000000,75.000000,畅通,<module 'time' (built-in)>
172,134.000000,18.000000,畅通,<module 'time' (built-in)>
179,149.000000,56.000000,畅通,<module 'time' (built-in)>
184,187.000000,46.000000,未知,<module 'time' (built-in)>
188,195.000000,101.000000,缓行,<module 'time' (built-in)>
200,488.000000,47.000000,畅通,<module 'time' (built-in)>
201,680.000000,54.000000,畅通,<module 'time' (built-in)>
203,385.000000,54.000000,畅通,<module 'time' (built-in)>
246,562.000000,58.000000,畅通,<module 'time' (built-in)>
287,106.000000,37.000000,畅通,<module 'time' (built-in)>
289,674.000000,69.000000,畅通,<module 'time' (built-in)>
297,381.000000,42.000000,畅通,<module 'time' (built-in)>
305,281.000000,34.000000,畅通,<module 'time' (built-in)>
322,102.000000,15.000000,畅通,<module 'time' (built-in)>
323,209.000000,25.000000,畅通,<module 'time' (built-in)>
328,102.000000,38.000000,畅通,<module 'time' (built-in)>
340,313.000000,38.000000,畅通,<module 'time' (built-in)>
