OBJECTID,length,from_lng_mars,from_lat_mars,to_lng_mars,to_lat_mars,orientation
851,737.2023665,120.342719,31.57624167,120.3363942,31.57236788,EW01
2018,81.47719277,120.335739,31.57186,120.336641,31.572501,EW02
381,377.8675109,120.3325145,31.56936219,120.3292982,31.56758893,EW03
380,58.82794323,120.328781,31.567603,120.329118,31.567654,EW04
1655,405.7238258,120.3287052,31.5675396,120.3251106,31.56554214,EW05
393,56.03172134,120.324904,31.565314,120.325061,31.565537,EW06
21,98.37980763,120.324593,31.564586,120.3249,31.565248,EW07
20,120.0979745,120.3243485,31.56438542,120.3232822,31.56379708,EW08
532,25.56743556,120.32215,31.563114,120.322576,31.563378,EW09
1783,393.3162463,120.322408,31.5633021,120.3190135,31.56125316,EW10
1987,61.28330321,120.322789,31.563517,120.3232,31.563758,EW11
1484,272.9732942,120.3190135,31.56125316,120.3166493,31.55984144,EW12
1482,672.6180751,120.3166493,31.55984144,120.3108849,31.55630965,EW13
430,125.0334601,120.309696,31.555366,120.310772,31.556181,EW14
1495,23.87659146,120.309444,31.555194,120.309594,31.555302,EW15
1421,211.2185758,120.309574,31.555288,120.307881,31.554006,EW16
42,201.4452024,120.310769,31.55618,120.309736,31.5554,EW17
41,509.1200022,120.3064466,31.55280946,120.3027813,31.54945176,EW18
1428,212.4867088,120.301304,31.548227,120.302485,31.549142,EW19
1427,410.4348653,120.297927,31.545629,120.301028,31.548024,EW20
18,204.0898947,120.297105,31.54513119,120.2952604,31.54417838,EW21
1300,218.851314,120.2952604,31.54417838,120.2932716,31.54317247,EW22
1307,602.3751171,120.287267,31.541588,120.293334,31.543194,EW23
17,319.7999465,120.2873361,31.54158664,120.2839607,31.54150905,EW24
1155,549.6008952,120.278075,31.541353,120.283043,31.541496,EW25
1520,427.330839,120.2780183,31.54129966,120.2735118,31.54114156,EW26
899,288.4533789,120.270863,31.541074,120.27345,31.541176,EW27
896,1263.356053,120.2704918,31.54088633,120.2838153,31.54136298,WE01
377,320.0317077,120.2839591,31.54136614,120.2873362,31.54146843,WE02
1309,607.7943283,120.2873362,31.54146843,120.2933489,31.54308196,WE03
1308,221.2321602,120.2933489,31.54308196,120.2953485,31.5441142,WE04
1327,208.4974053,120.2953485,31.5441142,120.2972547,31.5450562,WE05
1426,410.3537057,120.2980802,31.54556435,120.3012742,31.54806448,WE06
1425,214.8655387,120.3012742,31.54806448,120.3029172,31.54939887,WE07
392,499.570901,120.303469,31.549821,120.305794,31.551915,WE08
390,396.051551,120.3065888,31.55263308,120.3096514,31.55506213,WE09
386,167.846005,120.309543,31.555047,120.310876,31.556067,WE10
1779,252.9177916,120.3110392,31.5561629,120.3130569,31.55765555,WE11
1481,420.1550546,120.3130569,31.55765555,120.316784,31.55971637,WE12
1479,620.3953421,120.316784,31.55971637,120.3221642,31.56291662,WE13
530,63.11621398,120.322275,31.563001,120.322699,31.563259,WE14
1936,183.7379577,120.3228203,31.56330868,120.3244351,31.56423017,WE15
2015,26.54765433,120.324737,31.564378,120.32486,31.564398,WE16
1654,95.88468412,120.324949,31.564417,120.325532,31.564499,WE17
1653,398.2555267,120.3256681,31.56451862,120.3291945,31.56648216,WE18
1652,66.81624962,120.329364,31.566583,120.329537,31.566798,WE19
1656,385.8274035,120.3296043,31.56694947,120.3326441,31.56925653,WE20
370,75.47587766,120.332605,31.569208,120.333162,31.56964,WE21
456,127.6160394,120.3356395,31.5716458,120.3366725,31.57238451,WE22
455,282.6861468,120.3366725,31.57238451,120.3390576,31.57392124,WE23
460,70.55676422,120.338892,31.573816,120.339601,31.574275,WE24
462,194.0448914,120.3396525,31.57430519,120.3412942,31.57535485,WE25
