OBJECTID,from_lng_mars,from_lat_mars,to_lng_mars,to_lat_mars,isOK
1,120.303282,31.586768,120.30275,31.587061,1
1,120.302594,31.58701,120.303218,31.58666,1
2,120.305758,31.585516,120.303722,31.586537,1
2,120.303615,31.586437,120.305658,31.585388,1
3,120.295249,31.589097,120.294624,31.588442,1
4,120.29704,31.591046,120.296536,31.591334,1
4,120.296481,31.591248,120.296969,31.590954,1
5,120.297712,31.590623,120.297262,31.59089,1
5,120.297192,31.590799,120.297635,31.590518,1
6,120.3001196,31.59464027,120.2970281,31.59094367,1
7,120.301441,31.587827,120.300821,31.588244,1
7,120.300738,31.588175,120.301364,31.587732,1
8,120.302617,31.587135,120.301662,31.587683,1
8,120.301469,31.587664,120.302461,31.587085,1
9,120.291509,31.577062,120.291064,31.579015,1
9,120.290979,31.579038,120.291459,31.577073,1
12,120.270259,31.541053,120.270448,31.541064,1
13,120.2701063,31.5429549,120.2701904,31.54103796,1
14,120.2839607,31.54150905,120.2838913,31.54416793,1
15,120.283943,31.541504,120.283837,31.5415,1
16,120.283981,31.541379,120.283977,31.54149,1
17,120.2873361,31.54158664,120.2839607,31.54150905,1
18,120.297105,31.54513119,120.2952604,31.54417838,1
20,120.3243485,31.56438542,120.3232822,31.56379708,1
21,120.324593,31.564586,120.3249,31.565248,1
23,120.327783,31.564866,120.330599,31.56102,1
23,120.33091,31.560792,120.327872,31.564931,1
25,120.315471,31.580913,120.320921,31.574385,1
27,120.315019,31.58136,120.307807,31.584801,1
29,120.306223,31.580012,120.304303,31.58086,1
30,120.304375,31.58101,120.305467,31.582061,1
30,120.305386,31.582081,120.305386,31.582081,1
31,120.30646,31.579893,120.308257,31.578586,1
31,120.308396,31.57862,120.306521,31.579998,1
32,120.3064738,31.58008453,120.3041295,31.58092836,1
33,120.308656,31.578014,120.308428,31.57838,1
34,120.30356,31.576826,120.308329,31.578389,1
34,120.308211,31.578481,120.303467,31.576877,1
35,120.312629,31.572794,120.316052,31.572835,1
35,120.316348,31.572939,120.312581,31.572904,1
36,120.308275,31.578564,120.306422,31.57991,1
37,120.294176,31.575087,120.297365,31.57524,1
37,120.297314,31.575332,120.294203,31.575215,1
38,120.293743,31.575114,120.293905,31.575108,1
38,120.293925,31.575222,120.293759,31.575229,1
