,Shape *,Match,bridge,from,highway,length,name,oneway,osmid,to,Shape_Leng,OBJECTID,from_lng,from_lat,to_lng,to_lat,from_lat_mars,from_lng_mars,to_lat_mars,to_lng_mars,isShortest
0,折线,1419,yes,1750571923,primary,1212.839,盛岸西路,True,"[163381802, 163343836, 163381775]",2392701613,147.187963,1960638,120.2171231,31.615093,120.2297431,31.6135098,31.61316886739487,120.2217597953373,31.61157372198571,120.2343557473755,1.0
1,折线,1737, ,2676954291,tertiary,728.68,锡陆路,False,278752803,2055145328,129.412831,1960751,120.2216975,31.5984452,120.22933,31.5988,31.59651578913296,120.2263233692088,31.59686390189465,120.2339420576502,0.0
2,折线,4387, ,2056664267,trunk_link,472.921, ,True,48051066,1820092756,58.659101,1961754,120.2236441,31.5534014,120.2279151,31.5517694,31.55146748030354,120.2282623248545,31.54983162658249,120.2325254844686,1.0
3,折线,2760, ,2394591881,trunk,202.225, ,True,230830084,3480957770,201.92821,1961145,120.2243033,31.5685043,120.2252276,31.566865,31.56657091731323,120.2289215931125,31.56493067084276,120.2298440471092,1.0
4,折线,2551, ,2303813221,trunk,1128.266,钱荣路,True,195192036,2863437941,1125.82734,1961067,120.2244662,31.5685304,120.2253454,31.5784391,31.56659686981976,120.2290841925071,31.57650538332335,120.2299626321652,1.0
5,折线,4327, ,2514833259,tertiary,399.241,钱桥大街,False,244133587,2514833243,122.163436,1961732,120.2248586,31.6016983,120.2290729,31.6016099,31.59976597363324,120.2294787341375,31.59967407713256,120.2336856281549,1.0
6,折线,3018,yes,1125499218,motorway,6237.56499999999,锡宜高速,True,"[163333321, 163333323, 163333330, 163333332, 163333335, 163240667, 163240669, 163333341, 163333343, 163333345, 163333346, 163333347, 163333348, 163240680, 163333354, 197257197, 97167085, 163333358, 197257200, 163333357, 195010162, 195180915, 163333360, 1",1749828107,5615.785825,1961248,120.2250635,31.6247294,120.2780838,31.6572069,31.6227972122086,120.2296852504626,31.65527798051835,120.2826725015616,1.0
7,折线,3817, ,3480957770,trunk,93.393, ,True,230830084,3052984877,93.25608,1961557,120.2252276,31.566865,120.2256544,31.5661079,31.56493067084276,120.2298440471092,31.56417314232435,120.2302700062555,1.0
8,折线,4273, ,2863437941,trunk,1687.217,钱荣路,True,195192036,610907156,1683.882033,1961716,120.2253454,31.5784391,120.2302311,31.5929591,31.57650538332335,120.2299626321652,31.59102214234776,120.2348411758915,1.0
9,折线,2322, ,3052984877,trunk,193.107,钱荣路,True,"[147964635, 230830084]",2056664786,192.820034,1960977,120.2256544,31.5661079,120.2265305,31.5645399,31.56417314232435,120.2302700062555,31.56260427873091,120.23114440208,1.0
10,折线,4598,yes,1750563883,trunk,1522.411,"['洛新高架桥', '北环路']",True,"[165789176, 163341387, 163341375, 163341383]",1750564178,1282.215218,1961842,120.2262922,31.623614,120.2400297,31.6303903,31.62168073811734,120.2309116318997,31.62844863965967,120.2446291921281,1.0
11,折线,1376, ,2056664786,trunk,712.75,钱荣路,True,147964635,2056664622,407.923348,1960620,120.2265305,31.5645399,120.2267759,31.5581981,31.56260427873091,120.23114440208,31.55626179298801,120.2313888208009,1.0
12,折线,3851,yes,2697536152,tertiary,304.345,"['环湖路', '大渲桥']",True,"[195192033, 238014058, 195192035]",2056664039,15.507985,1961574,120.2266538,31.5488168,120.2297095,31.5479995,31.54687979564216,120.2312661267479,31.5460600141344,120.2343165467263,1.0
13,折线,1663, ,2056664790,trunk,488.366,钱荣路,True,"[195191988, 195192036]",2303813221,487.644441,1960731,120.2266872,31.5645677,120.2244662,31.5685304,31.562631948859,120.2313008271677,31.56659686981976,120.2290841925071,1.0
14,折线,3469, ,2056664790,tertiary,15.165,大池路,False,195192004,2056664786,15.199544,1961435,120.2266872,31.5645677,120.2265305,31.5645399,31.562631948859,120.2313008271677,31.56260427873091,120.23114440208,1.0
15,折线,4133, ,2056664472,trunk_link,238.477, ,True,195191995,1820092818,95.283287,1961669,120.2267437,31.5549757,120.2274371,31.5529152,31.55303915740759,120.2313563994682,31.55097791073008,120.2320484082926,1.0
16,折线,124, ,2056664622,trunk,787.325,钱荣路,True,"[147964635, 195192030]",2056664219,344.049901,1960149,120.2267759,31.5581981,120.2282042,31.5513084,31.55626179298801,120.2313888208009,31.54937035722481,120.232814050314,1.0
17,折线,3176,yes,2056664273,"['primary', 'primary_link']",109.124999999999,梁清路,True,"[195191993, 48051059, 195191982]",2056664276,80.750316,1961312,120.2269125,31.5534588,120.228064,31.5534721,31.55152198863908,120.2315247713743,31.5515343552899,120.2326742763002,1.0
18,折线,3181, ,2056664625,trunk,705.172, ,True,195191988,2056664790,656.936917,1961315,120.2269129,31.5583049,120.2266872,31.5645677,31.55636848727832,120.2315255888984,31.562631948859,120.2313008271677,1.0
19,折线,1248, ,2525199771,trunk_link,140.152, ,True,195192012,2056664625,118.562005,1960577,120.2270128,31.5570536,120.2269129,31.5583049,31.55511700414684,120.2316252055619,31.55636848727832,120.2315255888984,1.0
20,折线,1576, ,2056664524,trunk_link,143.602, ,True,"[195191979, 195192012]",2525199771,2.300301,1960697,120.227046,31.5557648,120.2270128,31.5570536,31.55382807141078,120.2316582361561,31.55511700414684,120.2316252055619,1.0
21,折线,1767, ,2056664524,secondary,583.698, ,True,195191978,614952399,573.948355,1960770,120.227046,31.5557648,120.2319603,31.5585358,31.55382807141078,120.2316582361561,31.55659565070836,120.2365646668523,1.0
22,折线,1846, ,2056664512,trunk_link,30.383, ,True,195191979,2056664524,11.786706,1960800,120.227096,31.5554949,120.227046,31.5557648,31.55355810781685,120.2317081253285,31.55382807141078,120.2316582361561,1.0
23,折线,989, ,1820092818,trunk_link,259.412, ,True,170869895,2056664273,17.55709,1960481,120.2274371,31.5529152,120.2269125,31.5534588,31.55097791073008,120.2320484082926,31.55152198863908,120.2315247713743,0.0
